modelName,param,storyName,clipt,clipi,accs
StoryAdapter,id8,son_tinh_thuy_tinh,0.2562662760416667,0.6173673930921053,0.21784464518229166
StoryAdapter,id8,so_dua,0.28043910435267855,0.7010498046875,0.31925130208333335
StoryAdapter,id8,tam_cam,0.2699800379136029,0.7927897135416667,0.300079830109127
StoryAdapter,id8,thach_sanh,0.29887462797619047,0.7777432528409091,0.13014322916666668
StoryAdapter,id8,thanh_giong,0.25189208984375,0.7310302734375,0.32361165364583333
StoryAdapter,id8,trai_sau_rieng,0.32607634171195654,0.8064313616071429,0.1983489990234375
StoryAdapter,id8,trau_cau,0.2485012478298611,0.742919921875,0.2217418323863636
StoryAdapter,TopK+id-1,ba_luoi_riu,0.3383601262019231,0.8395808293269231,0.648681640625
StoryAdapter,TopK+id-1,cau_be_thong_minh,0.2820957728794643,0.71005859375,0.17279052734375
StoryAdapter,TopK+id-1,cau_be_tich_chu,0.3299560546875,0.8275824652777778,0.5232747395833334
StoryAdapter,TopK+id-1,cay_huyet_du,0.2508212002840909,0.8039202008928571,0.35164388020833337
StoryAdapter,TopK+id-1,cay_khe,0.30042221966911764,0.7674153645833334,0.43218994140625
StoryAdapter,TopK+id-1,cay_tre_tram_dot,0.264495849609375,0.6573428199404762,0.3416278545673077
StoryAdapter,TopK+id-1,chim_da_da,0.2928688742897727,0.7482192095588235,0.41017578125
StoryAdapter,TopK+id-1,chim_hit_co,0.26727701822916666,0.76611328125,0.1573974609375
StoryAdapter,TopK+id-1,chim_nam_trau_sau_cot_va_chim_bat_co_troi_cot,0.30325753348214285,0.7159329927884616,0.3331570095486111
StoryAdapter,TopK+id-1,chim_quoc,0.2567206488715278,0.7546630859375,0.4533203125
StoryAdapter,TopK+id-1,chim_tu_hu,0.2601740910456731,0.8107561383928571,0.3934899640594542
StoryAdapter,TopK+id-1,coc_kien_troi,0.29966138756793476,0.75323486328125,0.3622349330357143
StoryAdapter,TopK+id-1,con_rong_chau_tien,0.290185546875,0.775146484375,0.1848659939236111
StoryAdapter,TopK+id-1,da_trang,0.2872708228326613,0.8013640372983871,0.09020802331349205
StoryAdapter,TopK+id-1,ho_guom,0.28737095424107145,0.7521750710227273,0.2747105189732143
StoryAdapter,TopK+id-1,mai_an_tiem,0.3139990234375,0.6986355251736112,0.31117261357668063
StoryAdapter,TopK+id-1,son_tinh_thuy_tinh,0.2570461697048611,0.6103901110197368,0.273345947265625
StoryAdapter,TopK+id-1,so_dua,0.2703770228794643,0.71005859375,0.3234130859375
StoryAdapter,TopK+id-1,tam_cam,0.2707304113051471,0.7936604817708334,0.2978751369254299
StoryAdapter,TopK+id-1,thach_sanh,0.2964390345982143,0.7858442826704546,0.18314073350694443
StoryAdapter,TopK+id-1,thanh_giong,0.2503865559895833,0.7369140625,0.3230745442708333
StoryAdapter,TopK+id-1,trai_sau_rieng,0.3231254245923913,0.8041294642857143,0.204193115234375
StoryAdapter,TopK+id-1,trau_cau,0.24847412109375,0.7546735491071429,0.22563920454545452
StoryAdapter,TopK+id10,ba_luoi_riu,0.33971228966346156,0.8439753605769231,0.6476004464285714
StoryAdapter,TopK+id10,cau_be_thong_minh,0.28384835379464285,0.71630859375,0.17239990234375
StoryAdapter,TopK+id10,cau_be_tich_chu,0.3290608723958333,0.8237847222222222,0.5254414876302084
StoryAdapter,TopK+id10,cay_huyet_du,0.25086558948863635,0.8039202008928571,0.35164388020833337
StoryAdapter,TopK+id10,cay_khe,0.303466796875,0.775634765625,0.4422810872395833
StoryAdapter,TopK+id10,cay_tre_tram_dot,0.264794921875,0.6515299479166666,0.3421036157852564
StoryAdapter,TopK+id10,chim_da_da,0.29620361328125,0.7457778033088235,0.40603515625000003
StoryAdapter,TopK+id10,chim_hit_co,0.26885579427083334,0.7677176339285714,0.15751953125
StoryAdapter,TopK+id10,chim_nam_trau_sau_cot_va_chim_bat_co_troi_cot,0.3021327427455357,0.7160456730769231,0.3325229220920139
StoryAdapter,TopK+id10,chim_quoc,0.2560356987847222,0.7563232421875,0.45003313337053574
StoryAdapter,TopK+id10,chim_tu_hu,0.2557936448317308,0.8238874162946429,0.3945721780579922
StoryAdapter,TopK+id10,coc_kien_troi,0.2986901324728261,0.7565155029296875,0.36057987919560186
StoryAdapter,TopK+id10,con_rong_chau_tien,0.2937255859375,0.77392578125,0.18309733072916667
StoryAdapter,TopK+id10,da_trang,0.28544764364919356,0.7920551915322581,0.11299336751302085
StoryAdapter,TopK+id10,ho_guom,0.28801037016369047,0.7511541193181818,0.279878162202381
StoryAdapter,TopK+id10,mai_an_tiem,0.3110693359375,0.6969129774305556,0.3229790229301948
StoryAdapter,TopK+id10,son_tinh_thuy_tinh,0.2549370659722222,0.6063939144736842,0.22892252604166666
StoryAdapter,TopK+id10,so_dua,0.2744140625,0.708203125,0.32176513671875
StoryAdapter,TopK+id10,tam_cam,0.27047549977022056,0.7899576822916666,0.2976075187562004
StoryAdapter,TopK+id10,thach_sanh,0.3006998697916667,0.7883744673295454,0.17999348958333333
StoryAdapter,TopK+id10,thanh_giong,0.2498711480034722,0.72666015625,0.32060384114583335
StoryAdapter,TopK+id10,trai_sau_rieng,0.32568359375,0.8102678571428571,0.1591339111328125
StoryAdapter,TopK+id10,trau_cau,0.2556355794270833,0.7470005580357143,0.22754794034090908
StoryAdapter,TopK+id2,ba_luoi_riu,0.3297776442307692,0.8296274038461539,0.6547502790178572
StoryAdapter,TopK+id2,cau_be_thong_minh,0.28561837332589285,0.6931640625,0.173858642578125
StoryAdapter,TopK+id2,cau_be_tich_chu,0.3244425455729167,0.8197157118055556,0.5101725260416666
StoryAdapter,TopK+id2,cay_huyet_du,0.2565585049715909,0.8235909598214286,0.36897786458333337
StoryAdapter,TopK+id2,cay_khe,0.2887393727022059,0.7633463541666666,0.4472859700520833
StoryAdapter,TopK+id2,cay_tre_tram_dot,0.267767333984375,0.6465541294642857,0.3371675931490385
StoryAdapter,TopK+id2,chim_da_da,0.31062455610795453,0.7233168658088235,0.3951090494791666
StoryAdapter,TopK+id2,chim_hit_co,0.2687581380208333,0.7557547433035714,0.30120849609375
StoryAdapter,TopK+id2,chim_nam_trau_sau_cot_va_chim_bat_co_troi_cot,0.3245326450892857,0.7211162860576923,0.345001220703125
StoryAdapter,TopK+id2,chim_quoc,0.2610948350694444,0.7430908203125,0.45765787760416665
StoryAdapter,TopK+id2,chim_tu_hu,0.24794358473557693,0.8077566964285714,0.4000138647762346
StoryAdapter,TopK+id2,coc_kien_troi,0.2991996433423913,0.744110107421875,0.3778211805555555
StoryAdapter,TopK+id2,con_rong_chau_tien,0.288323974609375,0.7745361328125,0.10825195312500001
StoryAdapter,TopK+id2,da_trang,0.2868140435987903,0.7907951108870968,0.1469692654079861
StoryAdapter,TopK+id2,ho_guom,0.2840169270833333,0.7518199573863636,0.2749360584077381
StoryAdapter,TopK+id2,mai_an_tiem,0.31875,0.7128363715277778,0.33923411649816176
StoryAdapter,TopK+id2,son_tinh_thuy_tinh,0.26837158203125,0.6285978618421053,0.21601969401041665
StoryAdapter,TopK+id2,so_dua,0.27272251674107145,0.7390869140625,0.329901123046875
StoryAdapter,TopK+id2,tam_cam,0.2727481617647059,0.8061848958333333,0.3551760073061343
StoryAdapter,TopK+id2,thach_sanh,0.29178292410714285,0.7791415127840909,0.1874914744543651
StoryAdapter,TopK+id2,thanh_giong,0.2495998806423611,0.71949462890625,0.33224121093750003
StoryAdapter,TopK+id2,trai_sau_rieng,0.323295261548913,0.8267299107142857,0.1640472412109375
StoryAdapter,TopK+id2,trau_cau,0.2504001193576389,0.735595703125,0.22675448330965908
StoryAdapter,TopK+id4,ba_luoi_riu,0.335205078125,0.8289888822115384,0.6560407366071428
StoryAdapter,TopK+id4,cau_be_thong_minh,0.28434535435267855,0.69814453125,0.1700927734375
StoryAdapter,TopK+id4,cau_be_tich_chu,0.3262939453125,0.8193901909722222,0.5069376627604166
StoryAdapter,TopK+id4,cay_huyet_du,0.25370649857954547,0.802734375,0.35135904947916663
StoryAdapter,TopK+id4,cay_khe,0.3068704044117647,0.7626139322916666,0.4322102864583333
StoryAdapter,TopK+id4,cay_tre_tram_dot,0.2661376953125,0.6559477306547619,0.3288010817307692
StoryAdapter,TopK+id4,chim_da_da,0.30255126953125,0.7276252297794118,0.4232421875
StoryAdapter,TopK+id4,chim_hit_co,0.2718912760416667,0.7544642857142857,0.32325439453125
StoryAdapter,TopK+id4,chim_nam_trau_sau_cot_va_chim_bat_co_troi_cot,0.31508091517857145,0.7315579927884616,0.33798556857638884
StoryAdapter,TopK+id4,chim_quoc,0.2546115451388889,0.7360595703125,0.4496029808407738
StoryAdapter,TopK+id4,chim_tu_hu,0.25433349609375,0.8144182477678571,0.3834054809332359
StoryAdapter,TopK+id4,coc_kien_troi,0.29744819972826086,0.764251708984375,0.3679063585069444
StoryAdapter,TopK+id4,con_rong_chau_tien,0.28837890625,0.7792236328125,0.1434054904513889
