modelName,param,storyName,clipts,clipis,accss
StoryAdapter,id-1,thanh_giong,"[0.2353515625, 0.224853515625, 0.215087890625, 0.2156982421875, 0.239990234375, 0.2213134765625, 0.314453125, 0.2474365234375, 0.257080078125, 0.209228515625, 0.2269287109375, 0.30908203125, 0.2783203125, 0.291015625, 0.2255859375, 0.244873046875, 0.31982421875, 0.2308349609375]","[0.75146484375, 0.7607421875, 0.77685546875, 0.6572265625, 0.78466796875, 0.80810546875, 0.697265625, 0.7939453125, 0.7822265625, 0.7431640625, 0.76708984375, 0.8701171875, 0.80078125, 0.59765625, 0.66162109375, 0.60693359375, 0.76171875, 0.79052734375, 0.708984375, 0.6171875]","{'woman': 0.6829427083333334, 'miracle boy': 0.596142578125, 'invaders': 0, 'an king': 0, 'messenger': 0.73291015625, 'blacksmiths': 0, 'villagers': 0.64111328125, 'iron horse': 0.57763671875, 'soldiers': 0, 'landscape': 0}"
StoryAdapter,id-1,trai_sau_rieng,"[0.3154296875, 0.32861328125, 0.298583984375, 0.273193359375, 0.308349609375, 0.3037109375, 0.287353515625, 0.26708984375, 0.365478515625, 0.368408203125, 0.36572265625, 0.2900390625, 0.3203125, 0.30322265625, 0.346435546875, 0.3486328125, 0.386474609375, 0.319091796875, 0.33935546875, 0.325439453125, 0.33642578125, 0.31298828125, 0.321533203125]","[0.92822265625, 0.80517578125, 0.693359375, 0.8193359375, 0.71728515625, 0.83740234375, 0.828125]","{'scholar-warrior': 0, 'man': 0, 'villagers': 0, 'boat': 0, 'mother': 0, 'scholar': 0.61474609375, 'young woman': 0, 'couple': 0, 'durian tree': 0.7587890625, 'wife': 0, 'husband': 0, 'spirit of wife': 0, 'fruit': 0, 'old man': 0.64990234375, 'guests': 0.58984375, 'tear': 0.65380859375}"
StoryAdapter,id-1,trau_cau,"[0.267333984375, 0.28076171875, 0.25048828125, 0.244873046875, 0.2421875, 0.188232421875, 0.2318115234375, 0.2403564453125, 0.2666015625, 0.2313232421875, 0.262939453125, 0.235107421875, 0.251708984375, 0.2430419921875, 0.2449951171875, 0.3095703125, 0.2080078125, 0.273193359375]","[0.8369140625, 0.8369140625, 0.7978515625, 0.755859375, 0.7265625, 0.66650390625, 0.76904296875, 0.76904296875, 0.77392578125, 0.77392578125, 0.68603515625, 0.7177734375, 0.6435546875, 0.8115234375]","{'older brother': 0.5134765625, 'younger brother': 0.686328125, 'wife': 0.684814453125, 'younger brother (stone)': 0, 'older brother (tree)': 0, 'wife (vine)': 0, 'villagers': 0, 'ancient king': 0.597412109375, 'red juice': 0, 'betel': 0, 'areca': 0}"
StoryAdapter,id10,ba_luoi_riu,"[0.3740234375, 0.318359375, 0.333740234375, 0.301513671875, 0.34033203125, 0.35400390625, 0.339111328125, 0.32861328125, 0.34375, 0.35986328125, 0.376708984375, 0.322265625, 0.294677734375]","[0.84619140625, 0.78125, 0.88720703125, 0.8720703125, 0.8701171875, 0.8671875, 0.86767578125, 0.82666015625, 0.84130859375, 0.80615234375, 0.76220703125, 0.861328125, 0.8173828125]","{'woodcutter': 0.62158203125, 'old man (buddha)': 0.6786411830357143}"
StoryAdapter,id10,cau_be_thong_minh,"[0.296630859375, 0.228271484375, 0.265625, 0.330078125, 0.2281494140625, 0.2861328125, 0.309326171875, 0.346923828125, 0.298583984375, 0.2301025390625, 0.2381591796875, 0.285888671875, 0.313720703125, 0.319091796875]","[0.82080078125, 0.75146484375, 0.71435546875, 0.63037109375, 0.67236328125, 0.70166015625, 0.7490234375, 0.80517578125, 0.67041015625, 0.6142578125]","{'mandarin': 0, 'small boy': 0.6834716796875, 'king': 0.68359375, 'villagers': 0, 'father': 0, 'soldiers': 0, 'mandarins': 0, 'ant': 0}"
StoryAdapter,id10,cau_be_tich_chu,"[0.298828125, 0.29296875, 0.31591796875, 0.3154296875, 0.358642578125, 0.379150390625, 0.33544921875, 0.35107421875, 0.2958984375, 0.382080078125, 0.309814453125, 0.325927734375]","[0.81787109375, 0.83349609375, 0.76611328125, 0.876953125, 0.8623046875, 0.89111328125, 0.86279296875, 0.76953125, 0.76904296875]","{'grandmother': 0.706787109375, 'grandmother (bird)': 0.67138671875, 'boy': 0.7229817708333334, 'fairy': 0}"
StoryAdapter,id10,cay_huyet_du,"[0.30615234375, 0.2359619140625, 0.20703125, 0.275634765625, 0.22265625, 0.2491455078125, 0.242431640625, 0.2384033203125, 0.2413330078125, 0.282958984375, 0.25732421875]","[0.94384765625, 0.7705078125, 0.85546875, 0.71435546875, 0.8134765625, 0.78369140625, 0.74609375]","{'butcher': 0.6697591145833334, 'monk': 0.73681640625, 'woman': 0, 'knife': 0}"
StoryAdapter,id10,cay_khe,"[0.30322265625, 0.255615234375, 0.27783203125, 0.250244140625, 0.3173828125, 0.27783203125, 0.293212890625, 0.32421875, 0.3076171875, 0.326416015625, 0.362548828125, 0.352294921875, 0.295654296875, 0.302001953125, 0.33544921875, 0.3583984375, 0.303466796875]","[0.841796875, 0.7392578125, 0.83349609375, 0.85595703125, 0.70361328125, 0.78564453125, 0.7099609375, 0.8642578125, 0.64111328125, 0.7587890625, 0.6796875, 0.72216796875]","{'older brother': 0.6719970703125, 'younger brother': 0.6865234375, 'starfruit tree': 0, 'giant bird': 0.7142333984375, 'wife': 0.5302734375, 'wife (older)': 0}"
StoryAdapter,id10,cay_tre_tram_dot,"[0.252197265625, 0.267578125, 0.264892578125, 0.307373046875, 0.26318359375, 0.28759765625, 0.2744140625, 0.2440185546875, 0.2489013671875, 0.27880859375, 0.279541015625, 0.2493896484375, 0.267333984375, 0.285400390625, 0.265625, 0.198486328125, 0.2410888671875, 0.2261962890625, 0.283447265625, 0.281005859375]","[0.53759765625, 0.72802734375, 0.62451171875, 0.75390625, 0.78515625, 0.78515625, 0.59521484375, 0.599609375, 0.69580078125, 0.78662109375, 0.63916015625, 0.56591796875, 0.6171875, 0.57958984375, 0.5869140625, 0.6044921875, 0.7001953125, 0.6708984375, 0.6484375, 0.6484375, 0.6337890625]","{'landowner': 0.72509765625, 'farmer': 0.6170748197115384, 'but': 0.70361328125, 'groom': 0, 'guests': 0, 'daughter': 0}"
StoryAdapter,id10,chim_da_da,"[0.3369140625, 0.302490234375, 0.2423095703125, 0.330810546875, 0.1806640625, 0.232666015625, 0.263427734375, 0.307861328125, 0.316162109375, 0.34814453125, 0.26025390625, 0.289794921875, 0.3359375, 0.293701171875, 0.266357421875, 0.3359375, 0.334716796875, 0.29541015625, 0.313720703125, 0.278076171875, 0.33251953125, 0.27099609375]","[0.78857421875, 0.765625, 0.744140625, 0.8623046875, 0.7060546875, 0.88134765625, 0.73876953125, 0.78515625, 0.755859375, 0.76513671875, 0.76025390625, 0.701171875, 0.7080078125, 0.6962890625, 0.68359375, 0.69775390625, 0.5322265625]","{'boy': 0.72998046875, 'mother': 0.7789713541666666, 'stepfather': 0.53564453125, 'villagers': 0, 'woodcutters': 0}"
